"Dispensing.Practice","IMD","Average.payments.per.weighted.patient"
"Non-dispensing",13.7178872,359.27
"Non-dispensing",29.34944916,119.92
"Non-dispensing",25.60107402,145.53
"Non-dispensing",19.51296025,130.65
"Non-dispensing",6.501867601,114.89
"Non-dispensing",12.22065192,136.42
"Dispensing",27.77704495,212.68
"Non-dispensing",13.28046391,205.98
"Dispensing",13.94459897,208.66
"Non-dispensing",11.63378846,146.79
"Non-dispensing",19.44961795,137.68
"Non-dispensing",33.07992887,129.79
"Non-dispensing",40.73375714,131.47
"Dispensing",14.70159114,147.57
"Non-dispensing",28.65440999,132.29
"Non-dispensing",28.03051885,130.36
"Non-dispensing",8.685088356,154.15
"Non-dispensing",22.34344482,119.53
"Non-dispensing",27.89188268,139.45
"Dispensing",16.27492363,321.22
"Non-dispensing",17.91760162,139
"Non-dispensing",46.78183568,131
"Non-dispensing",15.49397742,133.61
"Non-dispensing",25.53937775,138.29
"Dispensing",10.90828305,181.36
"Non-dispensing",7.001801943,141.83
"Non-dispensing",22.07464065,148.21
"Non-dispensing",10.9462961,151.73
"Non-dispensing",13.46005713,140.11
"Non-dispensing",13.459326,152.74
"Non-dispensing",12.46605129,188.41
"Non-dispensing",22.40085159,142.8
"Non-dispensing",24.49791376,139.85
"Non-dispensing",21.26667547,142.82
"Non-dispensing",26.15848609,143.33
"Non-dispensing",21.17139867,142.7
"Non-dispensing",28.07429431,165.93
"Non-dispensing",23.89619751,126.84
"Non-dispensing",22.4236016,124.5
"Non-dispensing",10.72288233,145.2
"Non-dispensing",13.34637951,150.18
"Non-dispensing",29.47670367,151.9
"Non-dispensing",27.99093011,137.02
"Non-dispensing",16.19776091,150.42
"Non-dispensing",8.100445882,149.59
"Non-dispensing",24.98987606,151.49
"Non-dispensing",32.72324563,139.97
"Non-dispensing",10.2686042,143.52
"Non-dispensing",26.76533415,142.5
"Non-dispensing",28.82523619,150.29
"Non-dispensing",14.43608567,154.34
"Non-dispensing",11.63668683,144.17
"Non-dispensing",13.85621886,152.86
"Non-dispensing",20.16479018,152.29
"Non-dispensing",16.08356332,143.27
"Non-dispensing",10.78127495,151.23
"Non-dispensing",23.29697423,136.12
"Non-dispensing",29.78609738,141.17
"Non-dispensing",27.62020423,122.64
"Non-dispensing",21.1145521,144.3
"Non-dispensing",15.98158596,144.46
"Non-dispensing",29.02236492,136.31
"Non-dispensing",12.67751027,131.88
"Non-dispensing",26.74012326,139.42
"Non-dispensing",24.68432388,137.33
"Non-dispensing",20.80647296,129.98
"Non-dispensing",22.50784288,150.98
"Non-dispensing",25.58383046,135.33
"Non-dispensing",20.91191641,147.07
"Non-dispensing",25.83121596,138.5
"Non-dispensing",24.17743983,132.42
"Non-dispensing",25.74699759,142.81
"Non-dispensing",24.14504044,137.28
"Non-dispensing",23.04142302,144.09
"Non-dispensing",10.68695675,122.35
"Non-dispensing",9.056090112,142.76
"Non-dispensing",29.64799192,157.28
"Non-dispensing",10.79066086,148.22
"Non-dispensing",24.99229795,140.59
"Non-dispensing",8.484968379,145.11
"Non-dispensing",22.30134166,142.45
"Non-dispensing",10.73578768,140.85
"Non-dispensing",8.817057746,148.17
"Non-dispensing",9.681902608,144.99
"Non-dispensing",11.53258117,143.53
"Non-dispensing",30.62711836,146.06
"Non-dispensing",7.23158725,162.09
"Non-dispensing",13.83017834,148.44
"Non-dispensing",8.260130348,163.47
"Non-dispensing",8.4353939,137.71
"Non-dispensing",31.53184342,147.07
"Non-dispensing",9.495768707,149.3
"Non-dispensing",13.92661596,149.75
"Non-dispensing",14.98898408,152.23
"Non-dispensing",25.55194172,160.96
"Non-dispensing",10.9993825,165.87
"Non-dispensing",13.02410103,147.68
"Non-dispensing",23.75878866,131.53
"Non-dispensing",6.823544332,144.44
"Non-dispensing",12.3679632,141.15
"Non-dispensing",7.240986718,139.7
"Non-dispensing",7.827468935,161.16
"Non-dispensing",10.81901645,144.49
"Non-dispensing",13.23892484,143.71
"Non-dispensing",24.71861673,135.52
"Non-dispensing",12.7460584,135.29
"Non-dispensing",12.62654715,145.96
"Non-dispensing",12.07734902,148.32
"Non-dispensing",7.94128843,139.98
"Non-dispensing",25.5566689,139.68
"Non-dispensing",25.0767022,160.61
"Non-dispensing",9.368195922,148.34
"Non-dispensing",15.92743864,143.48
"Non-dispensing",23.32442318,137
"Non-dispensing",16.91905486,169.37
"Non-dispensing",22.96255479,158.97
"Non-dispensing",22.52060874,142.37
"Non-dispensing",33.54433746,153.81
"Non-dispensing",23.03773514,184.9
"Non-dispensing",28.18692296,161.46
"Non-dispensing",20.76754054,152
"Non-dispensing",29.83049359,136.44
"Non-dispensing",20.88148398,149.14
"Non-dispensing",32.12701282,145.55
"Non-dispensing",26.98663801,135.58
"Non-dispensing",23.7859445,160.95
"Non-dispensing",26.03294044,277.02
"Non-dispensing",23.40010355,138.43
"Non-dispensing",27.25462674,142.33
"Non-dispensing",25.81380412,153.82
"Non-dispensing",30.71259023,169.46
"Non-dispensing",21.36376248,147.6
"Non-dispensing",32.47199586,154.01
"Non-dispensing",31.0332527,134.65
"Non-dispensing",30.12654212,138.73
"Non-dispensing",23.63233581,159.68
"Non-dispensing",23.80924964,147.93
"Non-dispensing",28.53542449,152.28
"Non-dispensing",25.15512898,155.64
"Non-dispensing",26.49628084,157.05
"Non-dispensing",33.36426649,131.01
"Non-dispensing",26.41067032,159.56
"Non-dispensing",29.23066886,146.36
"Non-dispensing",22.09852751,153.42
"Non-dispensing",26.23312588,185.97
"Non-dispensing",14.97311928,139.83
"Non-dispensing",26.34650153,170.84
"Non-dispensing",12.47965057,160.16
"Non-dispensing",31.00782533,145.22
"Non-dispensing",27.72429802,457.51
"Non-dispensing",26.93712824,144.03
"Non-dispensing",32.75006727,141.2
"Non-dispensing",24.7156591,153.92
"Non-dispensing",29.08273535,160.87
"Non-dispensing",29.46607034,204.72
"Non-dispensing",27.5400045,132.87
"Non-dispensing",30.64029948,141.97
"Non-dispensing",27.38275037,149.67
"Non-dispensing",27.92848556,139.78
"Non-dispensing",29.66785866,138.74
"Non-dispensing",17.03085077,154.03
"Non-dispensing",21.29898768,144.67
"Non-dispensing",29.6771597,158.33
"Non-dispensing",28.16377343,127.39
"Non-dispensing",31.45842119,131.03
"Non-dispensing",21.90833238,136.25
"Non-dispensing",20.4834,144.76
"Non-dispensing",26.07824967,150.27
"Non-dispensing",27.87652985,153.53
"Non-dispensing",30.15403256,141.92
"Non-dispensing",29.03904622,137.75
"Non-dispensing",28.7735002,155.14
"Non-dispensing",31.54485596,152.81
"Non-dispensing",27.85428257,169.03
"Non-dispensing",25.114753,147.36
"Non-dispensing",28.56421397,154.02
"Non-dispensing",19.89760223,170.63
"Non-dispensing",31.20135794,149.69
"Non-dispensing",32.74594339,176.91
"Non-dispensing",22.66093113,152.46
"Non-dispensing",23.71445273,157.59
"Non-dispensing",20.82698523,147.95
"Non-dispensing",26.78742164,149.17
"Non-dispensing",32.86974121,165.36
"Non-dispensing",29.98031441,152.65
"Non-dispensing",22.4014509,167.21
"Non-dispensing",19.0329281,158.85
"Non-dispensing",23.04467467,162.46
"Non-dispensing",17.64593065,296.89
"Non-dispensing",23.28316296,185.07
"Non-dispensing",29.36695025,179.95
"Non-dispensing",19.79000521,142.87
"Non-dispensing",21.12589095,155.6
"Non-dispensing",28.15553963,149.61
"Non-dispensing",29.18950242,147.72
"Non-dispensing",30.08776386,213.02
"Non-dispensing",23.81768147,141.25
"Non-dispensing",30.38105236,145.46
"Non-dispensing",15.31184937,22.89
"Non-dispensing",18.01599405,174.29
"Non-dispensing",22.98740665,142.59
"Non-dispensing",29.24550645,129.65
"Non-dispensing",31.43618643,139.04
"Non-dispensing",33.03581094,146.27
"Non-dispensing",33.40613341,159.54
"Non-dispensing",27.14109382,148.07
"Non-dispensing",22.81753453,156.26
"Non-dispensing",29.18595291,149.74
"Non-dispensing",21.59185069,135.64
"Non-dispensing",29.15214455,149.89
"Non-dispensing",13.63849682,127.36
"Non-dispensing",14.49615358,139.62
"Non-dispensing",11.67445789,140.69
"Non-dispensing",18.4727076,138.14
"Non-dispensing",7.038691151,140.51
"Non-dispensing",7.264987856,131.89
"Non-dispensing",13.27600397,153.38
"Non-dispensing",9.971164818,146.68
"Non-dispensing",6.562532625,139.39
"Dispensing",9.753878568,150.4
"Non-dispensing",6.510324908,136.21
"Non-dispensing",6.982866111,153.18
"Non-dispensing",8.02225931,148.32
"Non-dispensing",11.0129646,147.52
"Non-dispensing",9.078903503,128.57
"Non-dispensing",8.543510828,158.16
"Dispensing",9.544947747,247.6
"Dispensing",14.34764708,142.63
"Non-dispensing",11.34729476,130.85
"Non-dispensing",9.141801575,141.96
"Non-dispensing",10.06361467,146.54
"Non-dispensing",8.577243645,147.87
"Dispensing",10.37063644,182.49
"Non-dispensing",11.20260782,154.37
"Non-dispensing",11.70913727,164.02
"Dispensing",8.548148009,198.84
"Non-dispensing",9.993750612,145.85
"Non-dispensing",14.96937561,130.26
"Non-dispensing",7.928434449,155.59
"Non-dispensing",6.281785997,154.4
"Non-dispensing",8.56427457,157.43
"Non-dispensing",13.13708285,158.93
"Non-dispensing",6.037385122,174.28
"Non-dispensing",8.890757749,142.5
"Non-dispensing",8.365185716,138.58
"Non-dispensing",12.55257799,139.5
"Non-dispensing",13.56593144,133.94
"Non-dispensing",6.201407432,151.25
"Non-dispensing",7.531423544,136.52
"Non-dispensing",10.16085428,159.01
"Non-dispensing",13.7996515,154.14
"Non-dispensing",10.31776143,139.69
"Non-dispensing",10.97096869,163.9
"Non-dispensing",8.011904582,148.59
"Non-dispensing",10.71647158,146.43
"Non-dispensing",7.723011341,152.95
"Non-dispensing",10.51225491,147.96
"Non-dispensing",11.95330899,151.29
"Non-dispensing",10.17489108,177.48
"Non-dispensing",13.8273633,142.7
"Non-dispensing",12.17171782,152.74
"Non-dispensing",10.68730773,169.41
"Non-dispensing",10.97136023,144.96
"Non-dispensing",7.244638045,144.69
"Dispensing",10.52237845,181.68
"Non-dispensing",10.21419206,141.59
"Non-dispensing",11.56419607,145.47
"Non-dispensing",9.982765879,133.27
"Dispensing",11.73236158,185.95
"Non-dispensing",8.843488737,140.83
"Non-dispensing",9.014361495,142.69
"Non-dispensing",11.48624742,169.9
"Non-dispensing",10.05750266,147.25
"Non-dispensing",6.752867144,140.52
"Non-dispensing",5.593959088,145.85
"Non-dispensing",10.33861892,252.46
"Non-dispensing",7.307568465,148.14
"Dispensing",9.61143692,283.02
"Non-dispensing",8.033835256,163.56
"Non-dispensing",8.481717097,133.95
"Non-dispensing",14.26778273,136.01
"Non-dispensing",12.38116778,142.02
"Non-dispensing",18.4288371,145.4
"Non-dispensing",5.456849942,158.53
"Non-dispensing",6.79891329,159.29
"Non-dispensing",5.352046058,128.78
"Non-dispensing",24.73015997,140.8
"Non-dispensing",7.685375299,146.31
"Non-dispensing",8.993285714,144.94
"Non-dispensing",11.34212529,136.35
"Non-dispensing",8.347978477,152.87
"Non-dispensing",11.30157498,132.44
"Non-dispensing",11.90522972,129.86
"Non-dispensing",7.471360102,130.69
"Non-dispensing",6.350433699,137.72
"Non-dispensing",15.20150134,128.89
"Non-dispensing",4.792572957,127.96
"Non-dispensing",5.061241318,139.35
"Dispensing",5.297031118,231.76
"Non-dispensing",6.075424636,144.24
"Dispensing",13.28320058,263.9
"Non-dispensing",10.49698177,164.63
"Non-dispensing",11.80096569,157.23
"Non-dispensing",13.31960566,133.01
"Non-dispensing",22.754665,154.97
"Non-dispensing",8.95680491,138.31
"Non-dispensing",8.390957016,144.35
"Dispensing",6.303761119,204.8
"Non-dispensing",5.225127149,126.74
"Non-dispensing",11.556375,137.6
"Non-dispensing",9.246860418,147.5
"Non-dispensing",8.974005351,142.85
"Non-dispensing",12.95969946,138.22
"Non-dispensing",5.194264959,132.73
"Non-dispensing",6.676501695,151.9
"Non-dispensing",9.32331969,160.99
"Non-dispensing",13.54672748,135.03
"Non-dispensing",15.00148913,149.66
"Non-dispensing",19.9329408,123.86
"Non-dispensing",15.3175656,129.83
"Non-dispensing",19.52157588,146.56
"Non-dispensing",9.018829407,151.59
"Non-dispensing",6.195673606,138.8
"Non-dispensing",9.954545968,136.67
"Non-dispensing",10.24731045,130.57
"Non-dispensing",5.434301308,141.75
"Non-dispensing",8.984092184,161.82
"Dispensing",11.71399938,304.76
"Non-dispensing",8.703213783,179.74
"Dispensing",17.06679734,249.58
"Non-dispensing",14.99986608,169.28
"Non-dispensing",13.29841922,168.99
"Non-dispensing",18.17386019,154.8
"Non-dispensing",21.92739934,182.02
"Dispensing",13.57343973,193.45
"Non-dispensing",14.03774959,167.53
"Non-dispensing",22.53767808,174.62
"Dispensing",9.757579258,174.28
"Non-dispensing",30.92270831,144.32
"Non-dispensing",15.52033607,166.47
"Non-dispensing",9.525735934,158.41
"Non-dispensing",13.9528765,167.38
"Non-dispensing",16.46739912,161.53
"Non-dispensing",14.59108541,191.86
"Dispensing",9.815584469,283.29
"Non-dispensing",9.543768208,151.12
"Non-dispensing",10.98456141,163.24
"Dispensing",10.66436863,311.24
"Non-dispensing",13.30424263,157.69
"Non-dispensing",20.20307797,165.01
"Non-dispensing",14.71605826,167.74
"Non-dispensing",5.993613751,154.43
"Non-dispensing",9.611634732,172.56
"Non-dispensing",17.40855462,165.92
"Non-dispensing",12.85004265,166.83
"Non-dispensing",25.21563427,154.72
"Dispensing",6.304021072,179.05
"Non-dispensing",21.90467317,155.52
"Dispensing",15.79949147,185.29
"Non-dispensing",13.66868196,159.03
"Non-dispensing",6.968262185,187.02
"Non-dispensing",22.03363853,175.48
"Non-dispensing",14.71033,177.08
"Non-dispensing",15.16288316,166.96
"Non-dispensing",15.34931391,140.41
"Non-dispensing",14.40435275,156.06
"Non-dispensing",21.08718794,164.69
"Dispensing",13.98937678,189.62
"Non-dispensing",9.990378327,170.41
"Non-dispensing",16.24743859,148.57
"Dispensing",11.70038478,194.12
"Non-dispensing",7.312431675,156
"Non-dispensing",8.227394823,162.98
"Non-dispensing",23.28174224,168.54
"Non-dispensing",14.44929099,165.94
"Dispensing",10.30282507,218.28
"Non-dispensing",21.60801905,143.21
"Non-dispensing",7.499821156,160.97
"Non-dispensing",21.29362844,188.36
"Non-dispensing",19.46705748,164.54
"Non-dispensing",28.13084234,159.97
"Dispensing",15.60767102,254.41
"Non-dispensing",10.37351132,154.57
"Non-dispensing",7.901862642,162.81
"Non-dispensing",10.71700981,152.84
"Non-dispensing",14.05914345,148.96
"Non-dispensing",11.10487078,160.45
"Non-dispensing",9.215403149,167.93
"Non-dispensing",9.417274733,159.61
"Non-dispensing",23.65848236,142.49
"Non-dispensing",9.797902469,154.44
"Non-dispensing",19.67596795,158.64
"Non-dispensing",7.857443014,158.58
"Non-dispensing",14.53511486,154.35
"Non-dispensing",20.8463738,167.56
"Non-dispensing",27.00421326,177.06
"Non-dispensing",19.70990475,175.57
"Non-dispensing",7.702688169,171.95
"Dispensing",12.87730705,301.43
"Non-dispensing",8.452029092,148.65
"Non-dispensing",26.9423438,155.52
"Non-dispensing",12.92994328,161.97
"Non-dispensing",23.13692184,199.81
"Non-dispensing",35.24827293,160.3
"Non-dispensing",27.86983592,161.04
"Non-dispensing",18.72800558,146.62
"Non-dispensing",21.21607146,162.8
"Non-dispensing",26.24078973,150.44
"Non-dispensing",31.34609959,191.08
"Non-dispensing",32.68010574,164.71
"Non-dispensing",13.56334887,163.08
"Non-dispensing",12.29686272,164.99
"Non-dispensing",13.60157159,173.66
"Non-dispensing",14.82783001,163.08
"Non-dispensing",27.17652466,174.75
"Non-dispensing",13.31495815,175.55
"Non-dispensing",25.49040534,165.88
"Non-dispensing",30.7433488,180.06
"Non-dispensing",29.20769598,162.6
"Non-dispensing",29.95265256,167.41
"Non-dispensing",23.42915239,159.43
"Non-dispensing",12.23323993,158.49
"Non-dispensing",29.29016293,157.21
"Non-dispensing",9.594669798,162.44
"Non-dispensing",29.7443022,168.09
"Non-dispensing",20.30683239,168.31
"Non-dispensing",27.41999523,164.93
"Non-dispensing",36.04248399,168.46
"Non-dispensing",21.88258014,176.04
"Non-dispensing",17.15385198,168.63
"Non-dispensing",23.12492805,175.14
"Non-dispensing",13.20811877,161.82
"Non-dispensing",20.86930822,265.92
"Non-dispensing",36.4813531,171.41
"Non-dispensing",27.13718493,146.75
"Non-dispensing",11.45143696,162.8
"Non-dispensing",28.70830134,170.07
"Non-dispensing",27.45388827,154.35
"Non-dispensing",25.28904935,151.14
"Non-dispensing",31.05528889,158.25
"Non-dispensing",21.85954925,164.47
"Non-dispensing",18.68738711,168.4
"Non-dispensing",32.26094968,185.56
"Non-dispensing",7.184862109,145.76
"Non-dispensing",9.501683284,193.74
"Non-dispensing",10.30947207,165.49
"Non-dispensing",8.806643845,178.75
"Non-dispensing",10.65437675,177.6
"Non-dispensing",7.964546566,147.07
"Non-dispensing",8.607822433,155.95
"Non-dispensing",10.82411778,177.99
"Non-dispensing",10.76024079,176.74
"Non-dispensing",11.91013571,141.08
"Non-dispensing",12.2985807,150.37
"Non-dispensing",12.67173583,153.78
"Non-dispensing",9.767720498,157.43
"Non-dispensing",12.84965202,187.65
"Non-dispensing",11.59341112,174.02
"Non-dispensing",10.68549311,208.87
"Non-dispensing",12.43523194,198.63
"Non-dispensing",9.0789453,166.21
"Non-dispensing",8.240897722,177.47
"Non-dispensing",11.86451415,164.94
"Non-dispensing",7.764468073,168.85
"Non-dispensing",12.78895356,156.17
"Non-dispensing",8.153778442,150.73
"Non-dispensing",12.9578405,182.38
"Non-dispensing",15.00048973,158.06
"Non-dispensing",6.143693653,173.4
"Non-dispensing",12.73002658,190.66
"Non-dispensing",13.49889114,170.66
"Non-dispensing",10.95182055,165.98
"Non-dispensing",12.48986836,165.92
"Non-dispensing",8.664886943,157.57
"Non-dispensing",14.23446232,152.72
"Non-dispensing",6.965537395,156.67
"Non-dispensing",12.60499383,158.51
"Non-dispensing",10.50481667,162.8
"Non-dispensing",10.67774389,176.63
"Non-dispensing",12.22574085,182.53
"Non-dispensing",9.884112319,173.29
"Non-dispensing",9.79758243,174.1
"Non-dispensing",14.40014099,162.5
"Non-dispensing",12.66371047,94.22
"Non-dispensing",17.77306958,138.78
"Non-dispensing",9.113416156,172.68
"Non-dispensing",11.49947179,140.18
"Non-dispensing",15.80282111,169.6
"Non-dispensing",22.39096862,161.33
"Non-dispensing",22.61351551,157.5
"Non-dispensing",16.33953877,87.42
"Non-dispensing",24.44359716,150.54
"Non-dispensing",8.486196673,171.21
"Non-dispensing",22.71754098,146.56
"Non-dispensing",15.75368693,146.64
"Non-dispensing",16.2446977,155.22
"Non-dispensing",13.89440049,175.7
"Non-dispensing",11.17526098,158.69
"Non-dispensing",9.17286682,171.92
"Non-dispensing",20.71939262,157.91
"Non-dispensing",14.38611926,165.67
"Non-dispensing",26.52225566,156.88
"Non-dispensing",22.37427483,173.96
"Non-dispensing",15.11713506,157.85
"Non-dispensing",7.614013498,170.58
"Non-dispensing",6.972101187,154.51
"Non-dispensing",8.844157519,148.49
"Non-dispensing",23.26499263,148.79
"Non-dispensing",14.31099151,191.78
"Non-dispensing",14.60305972,172.22
"Non-dispensing",8.609530481,155.15
"Non-dispensing",21.66095744,158.84
"Non-dispensing",19.55528353,248.67
"Non-dispensing",16.98780073,170.55
"Non-dispensing",24.35928276,166.55
"Non-dispensing",14.20005562,143.44
"Non-dispensing",18.54467228,139.08
"Non-dispensing",19.21413556,175.57
"Non-dispensing",15.25460741,149.69
"Non-dispensing",9.817170811,151.3
"Non-dispensing",8.799799967,182.52
"Non-dispensing",20.22446696,149.18
"Non-dispensing",13.71749068,144.17
"Non-dispensing",9.392580168,179.28
"Non-dispensing",8.634925963,140.73
"Non-dispensing",12.06455376,166.21
"Non-dispensing",7.776911038,155.31
"Non-dispensing",25.84932957,137.91
"Non-dispensing",14.23907653,150.45
"Non-dispensing",27.17663054,142.99
"Non-dispensing",15.84557698,156.62
"Non-dispensing",20.09552984,160.67
"Non-dispensing",14.44613032,171.57
"Non-dispensing",11.6511822,166.48
"Non-dispensing",13.73593342,167.71
"Non-dispensing",21.39285363,163.77
"Non-dispensing",16.70615691,159.78
"Non-dispensing",20.67432897,148.31
"Non-dispensing",20.26790854,148.3
"Non-dispensing",21.98086693,151.07
"Non-dispensing",14.28289615,167.26
"Non-dispensing",14.31441923,181.1
"Non-dispensing",16.20725555,138.12
"Non-dispensing",8.503332279,159.75
"Non-dispensing",19.61246211,142.09
"Non-dispensing",8.295409532,157.62
"Non-dispensing",21.39710265,191.49
"Non-dispensing",25.85280132,141.8
"Non-dispensing",8.741347747,156.76
"Non-dispensing",13.8153029,161.13
"Non-dispensing",8.682020111,150.49
"Non-dispensing",13.4982911,163.73
"Non-dispensing",20.12496795,157.58
"Non-dispensing",9.670129553,150.86
"Non-dispensing",15.59354855,183.4
"Non-dispensing",17.88266574,128.69
"Non-dispensing",19.20710316,171.68
"Non-dispensing",14.18764446,161.04
"Non-dispensing",11.61051808,156.24
"Non-dispensing",14.3819005,132.55
"Non-dispensing",7.264291199,143.7
"Non-dispensing",17.23742403,160.82
"Non-dispensing",29.12112172,248.62
"Non-dispensing",18.22821481,153.87
"Non-dispensing",20.14576434,150.86
"Non-dispensing",24.44810183,162.2
"Non-dispensing",10.61518757,147.12
"Non-dispensing",26.57057579,170.16
"Non-dispensing",10.03648156,152.21
"Non-dispensing",18.04542334,137.15
"Non-dispensing",17.6026338,184.16
"Non-dispensing",28.51291884,141.4
"Non-dispensing",14.12380116,179.25
"Non-dispensing",16.30182141,152.41
"Non-dispensing",17.89465428,155.89
"Non-dispensing",15.95268691,148.84
"Non-dispensing",15.66834172,160.94
"Non-dispensing",13.21678802,144.47
"Dispensing",15.76668612,291.9
"Non-dispensing",17.7050031,164.28
"Dispensing",16.060517,211.9
"Dispensing",15.16997082,300.33
"Non-dispensing",29.53817923,145.65
"Non-dispensing",12.71865989,179.82
"Dispensing",15.43929687,263.74
"Non-dispensing",24.23915414,150.49
"Non-dispensing",8.666861018,181.02
"Dispensing",14.25962996,194.1
"Non-dispensing",7.036346853,172.4
"Non-dispensing",24.51397343,135.05
"Dispensing",10.73771735,157.31
"Dispensing",16.15653185,356.6
"Non-dispensing",22.29995139,171.46
"Non-dispensing",13.6601962,162.67
"Non-dispensing",6.910923131,158.37
"Non-dispensing",19.62344863,142.52
"Non-dispensing",30.88743606,150.12
"Non-dispensing",8.018940586,171.64
"Non-dispensing",15.07988457,184.33
"Non-dispensing",13.94608217,152.65
"Non-dispensing",20.1042878,156.25
"Non-dispensing",23.00471693,159.24
"Dispensing",15.22392346,351.2
"Non-dispensing",14.02300276,166.16
"Non-dispensing",15.97236069,134.35
"Dispensing",11.05094098,193.31
"Non-dispensing",17.46703338,133.9
"Non-dispensing",10.08641051,156.92
"Non-dispensing",16.06169095,142.93
"Non-dispensing",16.76779681,155.67
"Non-dispensing",12.51394796,187
"Non-dispensing",12.28440947,145.99
"Dispensing",14.52593258,274.45
"Non-dispensing",19.37069703,158.92
"Non-dispensing",23.63471032,135.04
"Non-dispensing",29.47788752,149.2
"Dispensing",19.5863747,280.33
"Non-dispensing",22.01496876,158.86
"Dispensing",18.3470339,184.94
"Non-dispensing",10.2281395,148.01
"Dispensing",14.50861591,227.13
"Non-dispensing",11.78410832,199.11
"Dispensing",13.99599481,203.31
"Dispensing",18.54259643,287.15
"Non-dispensing",14.52338082,156.51
"Non-dispensing",14.29092652,155.51
"Dispensing",18.66693393,353.99
"Dispensing",16.15421956,323.58
"Non-dispensing",18.36425751,146.32
"Dispensing",13.44529777,348.13
"Non-dispensing",16.16097932,169.03
"Non-dispensing",13.2249798,169.74
"Non-dispensing",18.00280213,146.05
"Non-dispensing",15.180576,158.21
"Non-dispensing",15.28854441,151.65
"Non-dispensing",27.77540492,140.88
"Non-dispensing",32.07451346,192.47
"Non-dispensing",14.12638564,186.04
"Non-dispensing",10.29512814,157.95
"Non-dispensing",11.75483121,175.3
"Non-dispensing",12.2903859,165.82
"Non-dispensing",16.74134192,152.13
"Non-dispensing",23.52575538,144.48
"Non-dispensing",27.56759348,138
"Dispensing",11.5520908,146.25
"Non-dispensing",18.75989496,169.02
"Non-dispensing",14.94157974,161.12
"Non-dispensing",9.098432461,190.21
"Non-dispensing",12.05873803,147.72
"Non-dispensing",26.78973512,153.84
"Non-dispensing",13.00756907,147.69
"Non-dispensing",14.29136023,142.51
"Dispensing",11.98645612,252.2
"Non-dispensing",12.26152405,130.64
"Non-dispensing",7.808534425,146.59
"Non-dispensing",6.064369511,147.7
"Non-dispensing",14.70356467,130.47
"Non-dispensing",16.06463495,142.8
"Non-dispensing",28.08713819,129.9
"Non-dispensing",33.77499604,167.67
"Dispensing",12.75749163,161.03
"Non-dispensing",13.23911847,144.31
"Non-dispensing",21.86331816,142.19
"Non-dispensing",11.18982119,137.7
"Dispensing",12.68379598,266.72
"Non-dispensing",11.94273162,148.84
"Dispensing",13.90620766,266.79
"Non-dispensing",12.91059233,179.7
"Non-dispensing",30.88981343,131.93
"Non-dispensing",33.4908923,140.7
"Non-dispensing",13.29587495,139.07
"Non-dispensing",6.354087474,150.91
"Non-dispensing",9.401394405,139.61
"Non-dispensing",12.98923399,146.75
"Non-dispensing",15.06595442,143.52
"Dispensing",9.650942974,263.91
"Non-dispensing",21.04469951,147.67
"Non-dispensing",15.45082278,153.83
"Non-dispensing",15.9106852,161.54
"Dispensing",8.565745374,207.98
"Non-dispensing",38.23397639,168.55
"Non-dispensing",7.512969112,147.05
"Non-dispensing",35.13048684,140.34
"Non-dispensing",14.3167426,126.72
"Dispensing",7.998899018,202.8
"Non-dispensing",18.26506583,152.51
"Non-dispensing",11.90847855,133.76
"Non-dispensing",16.22767825,140.51
"Non-dispensing",15.16728373,130.97
"Non-dispensing",11.74719845,147.92
"Non-dispensing",22.75712259,146.1
"Dispensing",10.84144028,174.2
"Non-dispensing",12.4499219,163.91
"Non-dispensing",27.01320819,155.29
"Dispensing",9.890110017,268.22
"Non-dispensing",19.28524207,116.92
"Non-dispensing",29.26151485,153.68
"Non-dispensing",20.22001908,131.9
"Non-dispensing",22.62917365,157.93
"Non-dispensing",19.94755068,157.24
"Non-dispensing",37.47074322,145.78
"Non-dispensing",26.47310874,154.1
"Non-dispensing",26.04732184,137.67
"Non-dispensing",8.539895623,138.5
"Non-dispensing",27.0588942,206.08
"Non-dispensing",23.1529479,132.94
"Dispensing",9.31707038,180.04
"Dispensing",10.6649861,133.45
"Non-dispensing",4.151031185,148.23
"Non-dispensing",27.03315014,135.05
"Non-dispensing",14.64152627,151.17
"Non-dispensing",14.42838654,136.46
"Non-dispensing",6.194851044,153.84
"Dispensing",9.915108937,287.52
"Non-dispensing",4.600004136,153.15
"Non-dispensing",13.54545776,147.53
"Non-dispensing",31.10888128,190.78
"Non-dispensing",27.6134264,131.35
"Dispensing",5.485763526,186.92
"Dispensing",9.371880141,181.17
"Non-dispensing",10.66809154,147.15
"Non-dispensing",9.562966431,156.03
"Non-dispensing",24.71105013,123.18
"Dispensing",9.953118348,184.61
"Non-dispensing",14.37093798,149.54
"Non-dispensing",17.81094885,133.29
"Non-dispensing",25.77752565,152.12
"Non-dispensing",6.403365323,144.29
"Non-dispensing",8.918434318,161.22
"Dispensing",11.46171008,232.64
"Non-dispensing",15.6087437,157.57
"Non-dispensing",17.85850916,154.29
"Non-dispensing",4.707526411,147.32
"Non-dispensing",9.939088058,153.35
"Non-dispensing",7.37119084,151.1
"Non-dispensing",10.12595385,153.78
"Non-dispensing",15.38052783,178.78
"Non-dispensing",4.953855723,160.12
"Non-dispensing",14.88049626,145.02
"Dispensing",10.37460623,170.53
"Non-dispensing",13.176729,158.44
"Non-dispensing",7.092496786,141.65
"Non-dispensing",26.53288066,151.12
