"Dispensing.Practice","IMD","Average.payments.per.weighted.patient"
"Non-dispensing",13.26878067,229.89
"Non-dispensing",20.42784778,155.13
"Dispensing",12.16722321,133.4
"Non-dispensing",25.29260344,145.17
"Non-dispensing",22.45095007,143.01
"Non-dispensing",21.07838876,143.98
"Dispensing",14.30328681,192.32
"Dispensing",14.15747065,280.47
"Dispensing",16.19627671,271.05
"Dispensing",22.61660533,177.14
"Non-dispensing",16.41040491,145.58
"Dispensing",10.10024463,200.88
"Dispensing",19.84537317,241.44
"Dispensing",9.360361568,296.06
"Non-dispensing",15.90676579,146.99
"Non-dispensing",20.65807135,134.21
"Non-dispensing",21.01075361,159.69
"Non-dispensing",33.35337407,150.84
"Non-dispensing",20.49315408,151.35
"Non-dispensing",32.92865792,145.15
"Non-dispensing",35.48454994,144.23
"Non-dispensing",25.5058145,160.55
"Non-dispensing",20.75896724,145
"Non-dispensing",25.62410928,149.48
"Non-dispensing",38.14332509,143.12
"Non-dispensing",21.48743406,145.43
"Non-dispensing",40.66669098,144.3
"Non-dispensing",42.74219616,151.4
"Non-dispensing",35.6601023,138.59
"Non-dispensing",14.5037643,170.76
"Non-dispensing",36.35154044,143.1
"Non-dispensing",33.77648936,142.77
"Non-dispensing",25.27564612,142.12
"Non-dispensing",36.9040912,140.85
"Non-dispensing",15.27350806,147.66
"Non-dispensing",35.5265895,150.53
"Non-dispensing",36.78639149,173.64
"Dispensing",35.89615024,168.5
"Non-dispensing",33.01888093,159.27
"Non-dispensing",24.07456631,147.25
"Non-dispensing",35.43650084,163.44
"Non-dispensing",20.12720209,150.31
"Non-dispensing",16.01248257,138.18
"Non-dispensing",16.53773659,173.95
"Non-dispensing",25.96558846,128.75
"Non-dispensing",42.38999102,133.46
"Non-dispensing",25.43893875,152.16
"Non-dispensing",13.88013554,150.72
"Non-dispensing",10.20541899,140.24
"Non-dispensing",22.28173869,131.49
"Non-dispensing",18.18021885,158.66
"Non-dispensing",51.65438949,161.59
"Non-dispensing",40.09562512,131.98
"Non-dispensing",35.96570398,142.85
"Non-dispensing",15.9451398,155.7
"Non-dispensing",49.06542295,157.42
"Non-dispensing",11.31010424,146.06
"Non-dispensing",9.070967219,140.59
"Non-dispensing",37.96354536,154.28
"Non-dispensing",20.75089697,152.15
"Non-dispensing",34.62080983,153.27
"Non-dispensing",39.59174729,134.56
"Non-dispensing",40.50885919,134.82
"Non-dispensing",29.33572562,150.07
"Non-dispensing",23.11119474,120.58
"Non-dispensing",18.27416829,140.58
"Non-dispensing",38.54524126,139.48
"Non-dispensing",40.50295755,144.53
"Non-dispensing",34.60042102,131.79
"Non-dispensing",9.327367122,154.39
"Non-dispensing",17.34584724,165.57
"Non-dispensing",13.39327023,141.56
"Non-dispensing",51.80747859,185.14
"Non-dispensing",32.01381591,149.03
"Non-dispensing",58.84881006,140.14
"Non-dispensing",16.86608463,218.37
"Non-dispensing",31.77981584,136.88
"Non-dispensing",29.92628672,232.78
"Non-dispensing",29.3110332,281.85
"Non-dispensing",27.87734053,147.46
"Non-dispensing",13.3463563,143.43
"Non-dispensing",11.62831328,186.66
"Non-dispensing",17.50068753,143.5
"Non-dispensing",10.85634401,152.81
"Non-dispensing",21.77109972,152.13
"Non-dispensing",9.989522663,146.71
"Non-dispensing",21.46008715,149.02
"Non-dispensing",32.52170422,150.95
"Non-dispensing",28.10961325,171.67
"Non-dispensing",15.56602483,153.99
"Non-dispensing",30.45632488,141.18
"Non-dispensing",10.09227049,167.42
"Non-dispensing",20.89033697,177.59
"Non-dispensing",20.9969575,192.2
"Non-dispensing",29.83574709,131.56
"Non-dispensing",44.01188062,168.97
"Non-dispensing",13.87380073,141.04
"Non-dispensing",18.58011393,162.86
"Non-dispensing",18.35943956,148.41
"Non-dispensing",30.3988818,139.83
"Non-dispensing",35.71636238,137.16
"Non-dispensing",28.8749698,140.03
"Non-dispensing",33.75971732,132.05
"Non-dispensing",38.81021186,127.91
"Non-dispensing",38.50131991,135.82
"Non-dispensing",32.47897689,136.37
"Non-dispensing",37.75648574,138.69
"Non-dispensing",20.40025449,143.43
"Non-dispensing",33.4981489,136.5
"Non-dispensing",32.0606872,145.01
"Non-dispensing",32.01654786,144.98
"Non-dispensing",38.15799107,131.68
"Non-dispensing",37.67224973,156.03
"Non-dispensing",19.51594951,136.73
"Non-dispensing",30.28993606,140.09
"Non-dispensing",16.60391191,130.12
"Non-dispensing",35.24250398,128.76
"Non-dispensing",29.99296205,133.95
"Non-dispensing",33.80232512,139.73
"Non-dispensing",35.88153756,131.88
"Non-dispensing",39.27753943,143.09
"Non-dispensing",44.44218896,140.85
"Non-dispensing",36.04943669,152.49
"Non-dispensing",32.30403714,152.64
"Non-dispensing",34.82466859,127.04
"Non-dispensing",31.60547903,136.82
"Non-dispensing",41.3140159,146.74
"Non-dispensing",24.69319225,147.82
"Non-dispensing",26.23961715,148.34
"Non-dispensing",25.70279852,149.36
"Non-dispensing",26.33479422,145.6
"Non-dispensing",38.56377841,133.31
"Non-dispensing",12.92839652,156.17
"Non-dispensing",25.49360384,150.33
"Non-dispensing",33.96603701,144.87
"Non-dispensing",38.53452906,143.07
"Non-dispensing",42.07902267,146.5
"Non-dispensing",32.74148845,142.67
"Non-dispensing",27.67945815,161.24
"Non-dispensing",26.33482209,140.74
"Non-dispensing",28.23423031,141.78
"Non-dispensing",33.50949514,153.52
"Non-dispensing",31.36002127,200.79
"Non-dispensing",27.98442529,135.13
"Non-dispensing",34.54619445,143.96
"Non-dispensing",23.07776435,154.58
"Non-dispensing",27.20472474,148.51
"Non-dispensing",32.42460492,150.53
"Non-dispensing",24.46313427,137.36
"Non-dispensing",28.72646999,139.35
"Non-dispensing",26.50622807,140.01
"Non-dispensing",35.02320333,143.73
"Non-dispensing",27.39945903,136.66
"Non-dispensing",35.73238728,140.98
"Non-dispensing",30.72931824,155.95
"Non-dispensing",19.3426872,139.95
"Non-dispensing",26.65821,142.68
"Non-dispensing",27.87556852,124.18
"Non-dispensing",47.92311513,120.53
"Non-dispensing",24.44693676,329.49
"Dispensing",20.47004724,192.28
"Dispensing",18.70618039,169.14
"Non-dispensing",30.63436174,115.81
"Dispensing",17.11146918,257.98
"Non-dispensing",37.75500657,137.55
"Dispensing",9.685370794,150.81
"Non-dispensing",12.44083468,191.93
"Non-dispensing",38.36144194,139.57
"Non-dispensing",42.13016465,157.43
"Non-dispensing",22.74630643,135.33
"Non-dispensing",31.60039133,152.51
"Non-dispensing",36.5964181,160.36
"Non-dispensing",52.79609601,197.06
"Non-dispensing",52.42807327,127.48
"Dispensing",31.79551385,183.33
"Non-dispensing",19.02450216,162.19
"Non-dispensing",35.45883285,159.47
"Non-dispensing",5.162133832,142.93
"Dispensing",35.35721233,195.74
"Non-dispensing",29.24441177,136.21
"Non-dispensing",50.1110321,125.26
"Dispensing",11.48865527,247.55
"Non-dispensing",14.14669269,179.58
"Non-dispensing",28.93477829,214.53
"Non-dispensing",50.70257208,108.09
"Dispensing",12.40203542,268.83
"Non-dispensing",25.05536855,174.48
"Dispensing",9.882123006,212.71
"Dispensing",14.49184735,221.2
"Non-dispensing",37.61123179,129.39
"Dispensing",29.05819033,205.27
"Non-dispensing",47.68408662,124.09
"Dispensing",11.7144948,220.29
"Dispensing",10.81367561,180.24
"Dispensing",11.41173903,216.06
"Non-dispensing",26.47947403,145.43
"Non-dispensing",53.98658136,118.43
"Non-dispensing",45.78340611,148.02
"Non-dispensing",31.75028066,147.5
"Non-dispensing",10.20205912,161.37
"Non-dispensing",36.79824567,126.14
"Non-dispensing",42.8822261,129.75
"Non-dispensing",20.80373332,150.67
"Non-dispensing",49.04415412,115.37
"Non-dispensing",35.90290316,151.54
"Dispensing",6.60734486,168.57
"Dispensing",16.39292949,209.45
"Non-dispensing",25.50508619,122.01
"Dispensing",19.08056813,188.08
"Non-dispensing",22.46214157,145.59
"Non-dispensing",34.28194711,116.66
"Non-dispensing",34.17796205,182.25
"Non-dispensing",44.15273986,124.49
"Non-dispensing",27.34722183,130.3
"Non-dispensing",28.67663863,166.66
"Non-dispensing",8.05051797,142.73
"Non-dispensing",27.65893329,150.46
"Non-dispensing",32.5279561,224.6
"Non-dispensing",10.97784085,146.94
"Non-dispensing",29.28757259,133.75
"Non-dispensing",28.22983076,189.39
"Dispensing",14.89404974,218.41
"Non-dispensing",26.65419316,126.67
"Non-dispensing",34.05560875,119.06
"Dispensing",14.55887943,276.37
