"Practice.Code","ICB.NAME","IMD","IMD_quintile"
"E81041","Bedfordshire, Luton and Milton Keynes",28.96909459,4
"E81043","Bedfordshire, Luton and Milton Keynes",9.551476988,1
"E81044","Bedfordshire, Luton and Milton Keynes",11.40342002,1
"E81045","Bedfordshire, Luton and Milton Keynes",17.23188452,2
"E81046","Bedfordshire, Luton and Milton Keynes",9.529384856,1
"E81047","Bedfordshire, Luton and Milton Keynes",16.58589795,2
"E81048","Bedfordshire, Luton and Milton Keynes",29.23431649,4
"E81049","Bedfordshire, Luton and Milton Keynes",14.86240956,2
"E81050","Bedfordshire, Luton and Milton Keynes",9.799614942,1
"E81052","Bedfordshire, Luton and Milton Keynes",16.49211946,2
"E81057","Bedfordshire, Luton and Milton Keynes",11.73513578,1
"E81060","Bedfordshire, Luton and Milton Keynes",25.74445074,4
"E81061","Bedfordshire, Luton and Milton Keynes",6.271045526,1
"E81063","Bedfordshire, Luton and Milton Keynes",28.82739721,4
"E81064","Bedfordshire, Luton and Milton Keynes",18.43041195,3
"E81069","Bedfordshire, Luton and Milton Keynes",15.59390146,2
"E81073","Bedfordshire, Luton and Milton Keynes",29.19871172,4
"E81074","Bedfordshire, Luton and Milton Keynes",8.548080638,1
"E81076","Bedfordshire, Luton and Milton Keynes",27.76415013,4
"E81077","Bedfordshire, Luton and Milton Keynes",9.981631827,1
"E81612","Bedfordshire, Luton and Milton Keynes",29.18818441,4
"E81615","Bedfordshire, Luton and Milton Keynes",31.6635443,4
"E81617","Bedfordshire, Luton and Milton Keynes",20.59954314,3
"E81631","Bedfordshire, Luton and Milton Keynes",30.5333657,4
"E81632","Bedfordshire, Luton and Milton Keynes",16.76972477,2
"E81633","Bedfordshire, Luton and Milton Keynes",21.03787568,3
"E81635","Bedfordshire, Luton and Milton Keynes",16.02624183,2
"E82001","Hertfordshire and West Essex",8.361942609,1
"E82002","Hertfordshire and West Essex",17.57882363,2
"E82004","Hertfordshire and West Essex",10.68523116,1
"E82005","Hertfordshire and West Essex",18.1699272,2
"E82006","Hertfordshire and West Essex",14.14144826,2
"E82007","Hertfordshire and West Essex",8.691291777,1
"E82008","Hertfordshire and West Essex",17.47333678,2
"E82009","Hertfordshire and West Essex",13.90959149,2
"E82012","Hertfordshire and West Essex",19.63567964,3
"E82013","Hertfordshire and West Essex",15.58792188,2
"E82014","Hertfordshire and West Essex",10.70507744,1
"E82015","Hertfordshire and West Essex",14.69736009,2
"E82017","Hertfordshire and West Essex",14.67381732,2
"E82018","Hertfordshire and West Essex",16.99001504,2
"E82019","Hertfordshire and West Essex",7.61565781,1
"E82020","Hertfordshire and West Essex",20.5624948,3
"E82021","Hertfordshire and West Essex",10.45431866,1
"E82022","Hertfordshire and West Essex",17.67966676,2
