"Practice.Code","prop65","IMD","Practice.Rurality"
"B82021",21.27384,10.95042304,"Urban"
"B82024",21.97424,34.94444779,"Urban"
"B82026",28.39066,10.55511507,"Urban"
"B82027",20.94753,10.67195878,"Urban"
"B82036",24.20115,12.38747641,"Urban"
"B82038",21.34874,31.43086813,"Urban"
"B82041",23.85304,12.58873689,"Urban"
"B82047",5.85243,8.251341613,"Urban"
"B82050",28.10411,13.08203194,"Urban"
"B82053",24.14545,14.40169042,"Urban"
"B82054",32.11737,21.53624604,"Urban"
"B82059",24.11722,12.40462812,"Urban"
"B82060",24.08208,11.8080624,"Urban"
"B82067",23.64507,10.42021669,"Urban"
"B82069",26.90899,10.2748265,"Urban"
"B82075",26.86134,13.51469479,"Urban"
"B82083",15.53411,13.66406726,"Urban"
"B82088",20.9434,32.0831477,"Urban"
"B82091",19.95404,10.09135805,"Urban"
"B82098",17.18088,12.74766557,"Urban"
"B82100",23.94806,15.49056856,"Urban"
"B82106",30.38091,16.80155317,"Urban"
"B83002",28.05959,8.145526021,"Urban"
"B83005",9.27702,49.85680576,"Urban"
"B83611",6.59767,47.08880877,"Urban"
"B83642",7.58442,48.61319162,"Urban"
"B83653",6.48279,49.87636999,"Urban"
"B83661",7.71285,47.69219567,"Urban"
"B84001",16.41424,26.50908678,"Urban"
"B84003",22.40228,20.90103133,"Urban"
"B84005",22.87429,24.01016243,"Urban"
"B84006",21.45386,27.90359294,"Urban"
"B84008",23.35012,12.60644948,"Urban"
"B84009",21.08,16.92511143,"Urban"
"B84010",18.06711,32.39401281,"Urban"
"B84011",24.18404,19.96083105,"Urban"
"B84012",12.51397,38.13413884,"Urban"
"B84013",19.78458,31.66198449,"Urban"
"B84014",27.42666,21.08435699,"Urban"
"B84016",18.49685,24.86973268,"Urban"
"B84019",13.3223,27.70433875,"Urban"
"B84021",20.59125,28.80521363,"Urban"
"B84612",12.49296,43.66064577,"Urban"
"B84623",15.84665,23.84831082,"Urban"
"B85004",14.42193,35.28409857,"Urban"
"B85008",13.66522,34.00570215,"Urban"
"B85010",18.76789,26.83210225,"Urban"
"B85012",16.4994,29.11282927,"Urban"
"B85014",21.75873,25.53892984,"Urban"
"B85015",20.27179,30.21766499,"Urban"
"B85019",23.78984,16.06350185,"Urban"
"B85020",14.03792,36.04753417,"Urban"
"B85023",20.93354,25.85168518,"Urban"
"B85024",21.00814,24.48871608,"Urban"
"B85038",20.63852,28.73807498,"Urban"
"B85042",13.87811,30.72602872,"Urban"
"B85054",22.76036,18.99123072,"Urban"
"B85058",11.10719,34.50677057,"Urban"
"B85060",26.44526,27.04287247,"Urban"
"B85611",13.39076,36.38553587,"Urban"
"B85623",15.48308,27.98080251,"Urban"
"B85634",8.16783,31.78306325,"Urban"
"B85636",20.75747,22.06068184,"Urban"
"B85645",5.99444,39.30041676,"Urban"
"B85650",4.94965,44.54344697,"Urban"
"B85660",15.60171,29.11911111,"Urban"
"B86001",17.80303,24.65897283,"Urban"
"B86004",21.52871,19.54312822,"Urban"
"B86008",19.63571,17.23672224,"Urban"
"B86010",27.18397,7.161766923,"Urban"
"B86012",8.62069,51.33069044,"Urban"
"B86013",9.23312,32.09512239,"Urban"
"B86015",14.45288,39.16107612,"Urban"
"B86017",12.19202,22.63565163,"Urban"
"B86019",11.2215,29.66946901,"Urban"
"B86020",20.02506,16.9565536,"Urban"
"B86035",14.97223,46.64332104,"Urban"
"B86039",13.63033,17.61868452,"Urban"
"B86041",10.92036,35.04572325,"Urban"
"B86042",12.87517,39.87735675,"Urban"
"B86043",12.71695,49.76407819,"Urban"
"B86048",23.20146,11.27620913,"Urban"
"B86049",8.99738,27.81930524,"Urban"
"B86051",19.73802,16.94034165,"Urban"
"B86052",24.37891,8.289327596,"Urban"
"B86059",13.63145,24.22962623,"Urban"
"B86060",13.29575,43.74086452,"Urban"
"B86062",20.28022,42.65621135,"Urban"
"B86066",18.71731,11.43989096,"Urban"
"B86086",9.16633,22.75866226,"Urban"
"B86092",20.35479,17.24547009,"Urban"
"B86093",18.37197,40.14222342,"Urban"
"B86096",13.83098,51.1331348,"Urban"
"B86101",23.13476,20.80453339,"Urban"
"B86104",8.41678,45.29677592,"Urban"
"B86108",6.9707,50.18600592,"Urban"
"B86109",8.48227,23.46536245,"Urban"
"B86623",2.67908,58.24951655,"Urban"
"B86625",25.86583,11.83943536,"Urban"
"B86642",9.82659,47.7771474,"Urban"
"B86648",29.71905,15.99633045,"Urban"
"B87002",22.641,16.74463916,"Urban"
"B87005",18.17786,30.70582649,"Urban"
