"","PRAC_CODE","TOTAL_GP_HC","TOTAL_GP_FTE","Date"
"476","P83611","1","0.856696453","2309"
"477","P83612","1","0.64","2309"
"478","P83620","1","0.4","2103"
"479","P84022","1","0.72","1809"
"480","P84028","1","0.56","2309"
"481","P84041","1","0.533333333","2107"
"482","P84050","1","0.72","1909"
"483","P84059","1","0.533333333","2309"
"484","P84062","1","0.8","1809"
"485","P84605","1","0.533333333","2309"
"486","P84637","1","0.986666667","2309"
"487","P84679","1","0.8","2309"
"488","P84684","1","1","2309"
"489","P85607","1","0.933333333","2207"
"490","P85615","1","0.933333333","2212"
"491","P85622","1","0.16","2309"
"492","P86013","1","0.56","1709"
"493","P86605","1","0.8","1709"
"494","P86608","1","0.213333333","2309"
"495","P87004","1","0.986666667","2203"
"496","P87651","1","1","1709"
"497","P88019","1","0.8","2111"
"498","P88618","1","0.641901173","1709"
"499","P89006","1","0.853333333","1709"
"500","P89010","1","1","2201"
"501","P89033","1","0.8","1709"
"502","P89612","1","1","1709"
"503","P89618","1","0.853333333","2309"
"504","P91016","1","0.8","2208"
"505","P92029","1","0.853333333","2107"
"506","P92038","1","0.8","2309"
"507","P92602","1","0.96","2309"
"508","P92616","1","0.426666667","2210"
"509","P92621","1","0.88","2111"
"510","P92646","1","0.853333333","2309"
"511","P92648","1","1","2309"
"512","Y00026","1","0.8","2309"
"513","Y00050","0","0","1809"
"514","Y00060","1","0.666666667","2309"
"515","Y00252","1","0.986666667","2309"
"516","Y00286","1","0.76","2309"
"517","Y00446","1","0.533333333","2304"
"518","Y00454","1","1","1709"
"519","Y00522","1","1","2309"
"520","Y00561","1","1","1809"
"521","Y00758","1","1","1809"
"522","Y00902","1","1","2309"
"523","Y00912","1","1","1709"
"524","Y01066","1","0.9984","2309"
"525","Y01118","1","1","2309"
"526","Y01163","1","0.933333333","1809"
"527","Y01221","1","0.533333333","2309"
"528","Y01280","1","1","2309"
"529","Y01695","1","0.64","2309"
"530","Y01795","1","1","1709"
"531","Y01924","1","0.693333333","1909"
"532","Y01948","1","0.32","2302"
"533","Y02177","1","0.88","2309"
"534","Y02212","1","0.986666667","2309"
"535","Y02274","1","1","1709"
"536","Y02321","1","0.173333333","2302"
"537","Y02462","1","1","1909"
"538","Y02501","1","0.666666667","1809"
"539","Y02526","1","0.866666667","2309"
"540","Y02567","1","0.426666667","2211"
"541","Y02572","1","0.678215119","2309"
"542","Y02622","1","1","1709"
"543","Y02653","1","0.72","2309"
"544","Y02656","1","0.89","1709"
"545","Y02658","1","0.533333333","2209"
"546","Y02663","1","0.666666667","2309"
"547","Y02686","1","0.2","2309"
"548","Y02701","1","0.553333333","2309"
"549","Y02720","1","0.566666667","2203"
"550","Y02769","0","0","2110"
"551","Y02827","1","0.586666667","1709"
"552","Y02867","1","0.666666667","2306"
"553","Y02875","1","1","2107"
"554","Y02886","1","0.96","2309"
"555","Y02936","1","0.72","2309"
"556","Y02974","1","0.933333333","2305"
"557","Y03112","0","0","1709"
"558","Y03222","1","1","2307"
"559","Y03671","1","0.506666667","2108"
"560","Y04882","1","0.586666667","2201"
"561","Y04947","1","0.48","2202"
"562","Y04965","1","0.853333333","2308"
"563","Y05023","0","0","2108"
"564","Y05080","1","0.146666667","2309"
"565","Y05291","1","1","2203"
"566","Y05363","1","1","2309"
"567","Y05690","1","0.64","2309"
"568","Y06810","1","0.8","2301"
"569","Y07014","1","0.533333333","2309"
"570","Y07020","1","0.426666667","2309"
