"Practice.Code","Year","TOTAL_PATIENTS","TOTAL_GP_EXTGL_HC","TOTAL_GP_EXTGL_FTE","IMD","IMD_quintile"
"A81049","2017",5542,3,2.4,50.69389414,"5"
"A81049","2018",5567,2,2,51.29708201,"5"
"A81049","2019",6732,2,2,51.90026988,"5"
"A81049","2020",6750,2,2,51.90026988,"5"
"A81049","2021",6734.66666666667,2,2,51.90026988,"5"
"A81049","2022",6702.1,2,2,51.90026988,"5"
"A81049","2023",6575.5,2,2,51.90026988,"5"
"A81049","2024",6531.2,2,2,51.90026988,"5"
"A81051","2016",7547,6,4.4,27.9698589,"4"
"A81051","2017",7715,7,5.1,28.1195426,"4"
"A81051","2018",7752,7,3.5,28.2692263,"4"
"A81051","2019",7026,6,2.9,28.41891,"4"
"A81051","2020",6468,4,2.2,28.41891,"4"
"A81051","2021",6410.33333333333,5,3.3,28.41891,"4"
"A81051","2022",6555,5,3.3,28.41891,"4"
"A81051","2023",6822.66666666667,5,3.3,28.41891,"4"
"A81051","2024",7256.2,5,3.3,28.41891,"4"
"A81052","2016",7438,3,2.8,28.327276935,"4"
"A81052","2017",7510,4,3.5,28.69231602,"4"
"A81052","2018",8456,4,3.6,29.057355105,"4"
"A81052","2019",8642,4,3.5,29.42239419,"4"
"A81052","2020",8924,4,3.7,29.42239419,"4"
"A81052","2021",9136.66666666667,4,3.9,29.42239419,"4"
"A81052","2022",9515.6,5,4.3,29.42239419,"4"
"A81052","2023",9788.25,5,3.7,29.42239419,"4"
"A81052","2024",9954.6,4,3.6,29.42239419,"4"
"A81053","2016",6529,3,2.2,38.2008383875,"5"
"A81053","2017",6518,3,3.1,37.761332455,"5"
"A81053","2018",6426,3,2.9,37.3218265225,"5"
"A81053","2019",6474,3,2.8,36.88232059,"5"
"A81053","2020",6462,3,2.8,36.88232059,"5"
"A81053","2021",6376,4,3.4,36.88232059,"5"
"A81053","2022",6240.2,4,3.4,36.88232059,"5"
"A81053","2023",6090.75,4,3.4,36.88232059,"5"
"A81053","2024",5984.8,3,2.6,36.88232059,"5"
"A81054","2016",7972,4,3.8,28.333888015,"4"
"A81054","2017",8035,4,3.8,28.97794363,"4"
"A81054","2018",8166,4,3.3,29.621999245,"4"
"A81054","2019",8204,4,3.3,30.26605486,"4"
"A81054","2020",8236,4,3.3,30.26605486,"4"
"A81054","2021",8199.66666666667,5,3.7,30.26605486,"4"
"A81054","2022",8338.3,5,3.8,30.26605486,"4"
"A81054","2023",8495.83333333333,7,4.2,30.26605486,"4"
"A81054","2024",8591,6,3.5,30.26605486,"4"
"A81056","2016",2573,2,1.1,24.055055325,"3"
"A81056","2017",2564,2,1.1,24.09393425,"3"
"A81056","2018",2576,2,1.2,24.132813175,"3"
"A81056","2019",2586,2,1.2,24.1716921,"3"
"A81056","2020",2572,2,1.2,24.1716921,"3"
"A81056","2021",2513.33333333333,2,1.2,24.1716921,"3"
"A81056","2022",2450.8,2,1.2,24.1716921,"3"
"A81056","2023",2473.16666666667,2,1.2,24.1716921,"3"
"A81056","2024",2473.2,2,1.2,24.1716921,"3"
"A81057","2016",8739,5,5.3,25.531277615,"4"
"A81057","2017",8813,5,5.3,25.75353145,"4"
"A81057","2018",8842,6,4.3,25.975785285,"4"
"A81057","2019",8976,6,4.3,26.19803912,"4"
"A81057","2020",9058,6,4.3,26.19803912,"4"
"A81057","2021",9081.33333333333,5,4.2,26.19803912,"4"
"A81057","2022",9157.8,5,4,26.19803912,"4"
"A81057","2023",9292.83333333333,5,3.5,26.19803912,"4"
