"Practice.Code","Year","IMD_quintile","ICB.NAME","Life_Expectancy_Female","Life_Expectancy_Male"
"A81039",2019,1,"North East and North Cumbria",84.21925307,80.46977872
"A81039",2020,1,"North East and North Cumbria",83.8091,80.1505
"A81040",2010,3,"North East and North Cumbria",82.5390056397086,77.2329896562189
"A81040",2012,3,"North East and North Cumbria",83.9485097394978,78.7172228704784
"A81040",2014,3,"North East and North Cumbria",84.0675915131732,79.561488372093
"A81040",2017,3,"North East and North Cumbria",83.16866706,79.39021726
"A81040",2019,3,"North East and North Cumbria",82.20763927,79.5596563
"A81040",2020,3,"North East and North Cumbria",82.1861,79.1267
"A81041",2010,5,"North East and North Cumbria",79.5940145995648,75.6875671492066
"A81041",2012,5,"North East and North Cumbria",81.5299890948746,76.9104117266652
"A81041",2014,5,"North East and North Cumbria",81.1789123196449,77.411724742494
"A81041",2017,5,"North East and North Cumbria",81.23541037,76.68966523
"A81041",2019,5,"North East and North Cumbria",81.23991842,76.92580078
"A81041",2020,5,"North East and North Cumbria",81.2444,76.9948
"A81042",2010,5,"North East and North Cumbria",79.3411924246362,75.5518993034526
"A81042",2012,5,"North East and North Cumbria",79.807960199005,75.7023809523809
"A81042",2014,5,"North East and North Cumbria",NA,NA
"A81042",2017,5,"North East and North Cumbria",80.84378983,76.10664212
"A81042",2019,5,"North East and North Cumbria",80.38240531,75.78817293
"A81042",2020,5,"North East and North Cumbria",79.7345,75.7677
"A81043",2010,4,"North East and North Cumbria",81.493704647055,77.7845221126815
"A81043",2012,4,"North East and North Cumbria",81.3306384027606,77.5819994819995
"A81043",2014,4,"North East and North Cumbria",NA,NA
"A81043",2017,5,"North East and North Cumbria",81.41114877,76.87202291
"A81043",2019,5,"North East and North Cumbria",81.16932283,76.74204713
"A81043",2020,5,"North East and North Cumbria",80.6969,76.7356
"A81044",2010,4,"North East and North Cumbria",79.8816766093839,75.7535004247741
"A81044",2012,4,"North East and North Cumbria",81.6077629954739,77.1153933060302
"A81044",2014,4,"North East and North Cumbria",81.648018446462,77.6131779536793
"A81044",2017,4,"North East and North Cumbria",81.62967694,76.61946352
"A81044",2019,5,"North East and North Cumbria",81.32372505,76.62261911
"A81044",2020,5,"North East and North Cumbria",81.5148,76.44
"A81045",2010,4,"North East and North Cumbria",81.7210965415731,77.5553982692109
"A81045",2012,4,"North East and North Cumbria",82.3371435910609,77.9515529672768
"A81045",2014,4,"North East and North Cumbria",81.9602512562814,77.571878393051
"A81045",2017,4,"North East and North Cumbria",81.55267524,78.09601825
"A81045",2019,4,"North East and North Cumbria",81.50084654,78.24108836
"A81045",2020,4,"North East and North Cumbria",81.5424,77.5789
"A81046",2010,4,"North East and North Cumbria",80.9365365561845,76.106175427351
"A81046",2012,4,"North East and North Cumbria",81.7303945745993,76.5237503929582
"A81046",2014,4,"North East and North Cumbria",81.3687151702786,76.6971944840704
"A81046",2017,4,"North East and North Cumbria",80.2161891,76.49194959
"A81046",2019,4,"North East and North Cumbria",80.46343977,76.37920736
"A81046",2020,4,"North East and North Cumbria",80.2614,76.5138
"A81048",2010,2,"North East and North Cumbria",82.1935409451074,79.0300053500286
"A81048",2012,2,"North East and North Cumbria",83.4165285996055,80.3507171314741
"A81048",2014,2,"North East and North Cumbria",83.5948377004302,80.2782660332542
"A81048",2017,2,"North East and North Cumbria",83.58100246,79.73735318
"A81048",2019,2,"North East and North Cumbria",83.74057662,80.76897362
"A81048",2020,2,"North East and North Cumbria",84.3472,80.1123
