"","Practice.Code","Achievement_AF","Achievement_BP","Achievement_CHD","Achievement_CHOL","Achievement_HF","Achievement_HYP","Achievement_LVSD","Achievement_PAD","Achievement_STIA","Prevalence_AF","Prevalence_BP","Prevalence_CHD","Prevalence_CHOL","Prevalence_HF","Prevalence_HYP","Prevalence_LVSD","Prevalence_PAD","Prevalence_STIA","List.Size_AF","List.Size_BP","List.Size_CHD","List.Size_CHOL","List.Size_HF","List.Size_HYP","List.Size_LVSD","List.Size_PAD","List.Size_STIA"
"3240","N81632",100,100,100,100,100,100,NA,100,99.0909090909091,2.03523174277407,NA,2.83906276723106,NA,0.872242175474602,14.3834445014537,0.661129004916088,0.718317085684967,1.67607319993159,5847,2563,5847,5899,5847,5847,NA,5847,5847
"3241","N81006",100,92.1333333333333,100,100,100,100,NA,100,100,2.90203327171904,NA,3.58595194085028,NA,0.942698706099815,15.5637707948244,0.331369661266569,0.609981515711645,2.181146025878,5410,3203,5410,5432,5410,5410,NA,5410,5410
"3242","N81069",100,100,100,100,100,100,NA,100,100,4.03062373339338,NA,3.76041432109885,NA,1.95901823913533,19.0272461157397,1.66889185580774,0.765593334834497,2.2517451024544,4441,2623,4441,4494,4441,4441,NA,4441,4441
"3243","N81082",100,94.1333333333333,100,100,100,100,NA,100,100,2.90948275862069,NA,4.10750507099392,NA,1.35649087221095,16.0750507099391,0.650563607085346,1.31211967545639,2.32631845841785,15776,7935,15776,15525,15776,15776,NA,15776,15776
"3244","N81062",100,100,100,100,100,100,NA,100,100,2.88512092534175,NA,3.75920084121977,NA,1.10410094637224,16.8046792849632,0.508540878862955,0.736067297581493,2.38564668769716,15216,7790,15216,15338,15216,15216,NA,15216,15216
"3245","N81087",100,99.6,100,78.7666666666667,100,97.92,NA,100,100,3.06257787066436,NA,3.48458663237008,NA,1.35444716852217,16.783891322696,0.604445858352885,0.667175756601423,2.34315341023271,24881,13157,24881,25147,24881,24881,NA,24881,24881
"3246","Y05750",0,100,82.1428571428572,78.2333333333333,0,80,NA,100,54.2727272727273,0.847457627118644,NA,0.847457627118644,NA,0,6.77966101694915,0,0.847457627118644,6.77966101694915,118,31,118,109,118,118,NA,118,118
"3247","N81031",100,100,100,100,100,100,NA,100,100,4.31480284421461,NA,4.16936005171299,NA,1.68067226890756,17.3076923076923,1.191434551602,0.54945054945055,3.24822236586942,6188,3676,6188,6211,6188,6188,NA,6188,6188
"3248","N81053",100,100,100,54.4666666666667,100,100,NA,100,100,2.10296889726673,NA,3.44015080113101,NA,1.44910461828464,13.3188030160226,1.12575828278115,0.777568331762488,2.18543826578699,16976,6883,16976,17144,16976,16976,NA,16976,16976
"3249","N81025",100,100,100,100,100,100,NA,100,100,2.19396175128628,NA,2.96087758470051,NA,1.34938355499466,14.4549072905543,0.916555279740309,0.543636540141734,1.86389670905737,10301,4637,10301,10474,10301,10301,NA,10301,10301
"3250","N81102",100,100,100,100,100,100,NA,100,100,6.10787942887361,NA,5.79058699101005,NA,3.88683236382866,22.2369116869381,1.55612244897959,1.53358011634056,6.74246430460074,3782,1901,3782,3920,3782,3782,NA,3782,3782
"3251","N81081",100,100,100,100,100,100,NA,100,100,2.21697629067022,NA,2.04249204557118,NA,0.605562968284923,11.5980704095248,0.56070955245183,0.44134250230935,1.31376372780458,9743,3620,9743,9809,9743,9743,NA,9743,9743
"3252","N81050",100,100,83.5357142857143,100,100,62.08,NA,100,87.8181818181818,2.88177216458678,NA,3.63855059389566,NA,1.62882774520122,16.4386307823385,1.19380238760477,0.912143537312685,2.07487595850248,19953,9365,19953,19685,19953,19953,NA,19953,19953
"3253","N81071",100,100,99.75,69.3666666666667,75.8620689655173,100,NA,100,96.5454545454546,3.24034334763948,NA,4.01287553648069,NA,1.90987124463519,23.0901287553648,1.23402379903041,0.772532188841202,2.5107296137339,4660,2733,4660,4538,4660,4660,NA,4660,4660
"3254","N81068",91.5862068965517,81.5333333333333,99.25,60.0333333333333,100,66.4,NA,100,69.7272727272727,2.18677301429046,NA,3.65569956796278,NA,1.83449651046859,14.5829179129279,1.29074744813961,0.977068793619143,2.04054503157195,15045,6276,15045,15185,15045,15045,NA,15045,15045
"3255","N81070",100,97.5333333333333,99.6785714285714,99.0666666666667,99.2413793103448,92.36,NA,100,100,2.9580530273051,NA,3.67036011080332,NA,1.25643055005936,17.5504550850811,1.19754552652415,0.880490700435299,2.44360902255639,10108,4889,10108,10104,10108,10108,NA,10108,10108
"3256","N81043",100,100,100,100,100,100,NA,100,100,3.35097001763668,NA,4.19753086419753,NA,1.32275132275132,21.9047619047619,1.04493207941484,0.652557319223986,2.48677248677249,5670,3254,5670,5742,5670,5670,NA,5670,5670
"3257","N81009",93.0689655172414,100,100,99.9666666666667,84.3448275862069,100,NA,100,98.7272727272727,2.58933195235629,NA,3.36613153806318,NA,0.867426204039358,15.5748316934231,0.413543551305247,0.725012946659762,1.73485240807872,7724,3841,7724,7738,7724,7724,NA,7724,7724
"3258","N81005",100,100,100,98.3,97.7931034482758,100,NA,100,100,3.13581755243331,NA,3.79759723070658,NA,1.31337813072694,18.4280187334555,0.579268292682927,0.722867033190796,2.30095703522704,9822,5012,9822,9840,9822,9822,NA,9822,9822
"3259","N81040",100,100,100,100,100,100,NA,100,100,1.73595915390226,NA,2.83005105762217,NA,1.06491611962072,12.9686360320934,0.674802584350323,0.787746170678337,1.57549234135667,6855,2854,6855,6965,6855,6855,NA,6855,6855
"3260","N81013",100,100,98.4285714285714,0,98.5862068965517,100,NA,100,100,2.8759244042728,NA,2.94439879485073,NA,0.835387565050671,17.7622569159135,0.697836706210747,0.588879758970145,2.08162147356888,7302,3586,7302,7165,7302,7302,NA,7302,7302
"3261","N81092",100,93.2666666666667,100,100,100,100,NA,100,100,2.94139772812759,NA,3.54321823516136,NA,1.5572105619499,14.8574437673964,1.3727331840185,0.526592943654555,2.27939517039043,13293,6431,13293,13841,13293,13293,NA,13293,13293
"3262","N81044",96.9655172413793,90.5333333333333,76.2857142857143,75.4,92.2413793103448,37.84,NA,100,78.4545454545454,2.47060984570169,NA,3.55437178545187,NA,1.78177810433505,16.2196914033799,0.88235294117647,0.789860396767083,2.17670830271859,10888,4782,10888,10880,10888,10888,NA,10888,10888
"3263","N81120",93.9310344827586,100,100,90.3,93.1379310344827,100,NA,100,94.8181818181818,3.30987255088453,NA,3.59520639147803,NA,0.798934753661784,14.5710481263078,0.802425106990014,0.51360091306829,2.13049267643142,5257,3154,5257,5608,5257,5257,NA,5257,5257
"3264","N81002",100,88.4666666666667,100,58.7333333333333,100,93.32,NA,100,100,3.39362894189211,NA,3.289578997919,NA,1.24859932767729,16.1357451576757,1.2424882247848,0.488234352489195,2.4811909716664,12494,6719,12494,12314,12494,12494,NA,12494,12494
"3265","N81049",97.2068965517241,100,100,98.2,100,100,NA,100,100,3.28680968381149,NA,3.69173774446455,NA,2.35633669337469,20.3454811751529,1.84329826362159,1.18032221935039,3.40311880761609,23214,12393,23214,23382,23214,23214,NA,23214,23214
