"Dispensing.Practice","IMD","Average.payments.per.registered.patient"
"Non-dispensing",12.60644948,144.1
"Non-dispensing",16.92511143,160.81
"Non-dispensing",32.39401281,143.7
"Non-dispensing",19.96083105,144.07
"Non-dispensing",38.13413884,142.66
"Non-dispensing",31.66198449,162.6
"Non-dispensing",21.08435699,160.47
"Non-dispensing",24.86973268,149.05
"Non-dispensing",27.70433875,139.58
"Non-dispensing",28.80521363,156.02
"Non-dispensing",43.66064577,131.18
"Non-dispensing",41.30524088,150.04
"Non-dispensing",36.30144642,155.86
"Non-dispensing",23.84831082,137.94
"Non-dispensing",22.1748852,155.71
"Non-dispensing",11.73378503,152.09
"Non-dispensing",35.28409857,144.18
"Non-dispensing",7.544629793,167.48
"Non-dispensing",11.66250511,178.75
"Non-dispensing",34.00570215,142.63
"Non-dispensing",35.31349169,155.96
"Non-dispensing",26.83210225,141.21
"Non-dispensing",29.11282927,156.7
"Non-dispensing",25.53892984,174.46
"Non-dispensing",30.21766499,160.36
"Non-dispensing",35.86664263,142.08
"Non-dispensing",32.2853274,149.51
"Non-dispensing",16.06350185,161.65
"Non-dispensing",36.04753417,165.79
"Non-dispensing",23.27274897,157.54
"Non-dispensing",12.83511092,166.32
"Non-dispensing",25.85168518,163.83
"Non-dispensing",24.48871608,163.99
"Non-dispensing",20.64171855,165.35
"Non-dispensing",9.282885718,176.58
"Non-dispensing",17.46740479,140.12
"Non-dispensing",34.47180359,156.3
"Non-dispensing",23.02515665,143.42
"Non-dispensing",13.24514829,158.09
"Non-dispensing",15.31385499,171.91
"Non-dispensing",15.60200349,140.34
"Non-dispensing",26.10497141,174.36
"Non-dispensing",33.281622,158.38
"Non-dispensing",28.73807498,163.56
"Non-dispensing",33.98227087,133.77
"Non-dispensing",30.72602872,144.69
"Non-dispensing",39.89460741,130.72
"Non-dispensing",40.14047614,149.91
"Non-dispensing",20.62093585,146.65
"Non-dispensing",18.99123072,178.61
"Non-dispensing",36.98546256,133.65
"Non-dispensing",34.50677057,165.36
"Non-dispensing",18.30193436,176
"Non-dispensing",27.04287247,168.81
"Non-dispensing",11.29666826,149.09
"Non-dispensing",30.16341326,124.85
"Non-dispensing",35.40306871,156.14
"Dispensing",11.39271011,197.89
"Non-dispensing",36.38553587,147.57
"Non-dispensing",27.11720127,138.25
"Non-dispensing",38.8315837,185.84
"Non-dispensing",32.06200035,152.34
"Non-dispensing",30.06377103,179.92
"Non-dispensing",27.98080251,136.45
"Non-dispensing",31.78306325,139.77
"Non-dispensing",22.06068184,153.17
"Non-dispensing",26.72721573,148.18
"Non-dispensing",33.71812943,161.09
"Non-dispensing",39.30041676,123.48
"Non-dispensing",34.83929548,161.19
"Non-dispensing",44.54344697,125.5
"Non-dispensing",34.53316914,153.48
"Non-dispensing",33.63703546,153.72
"Non-dispensing",40.08067262,336.25
"Non-dispensing",29.11911111,155.33
"Non-dispensing",24.65897283,144.96
"Non-dispensing",52.46332749,152.05
"Non-dispensing",44.45460982,133.36
"Non-dispensing",19.54312822,147.87
"Non-dispensing",53.78786184,158.27
"Non-dispensing",18.12596853,163.56
"Non-dispensing",41.19133583,186.5
"Non-dispensing",17.23672224,163.63
"Dispensing",22.57392137,213.33
"Dispensing",7.161766923,270.88
"Non-dispensing",20.49102197,165.55
"Non-dispensing",51.33069044,147.61
"Non-dispensing",32.09512239,133.89
"Non-dispensing",22.16136216,176.48
"Non-dispensing",39.16107612,147.13
"Non-dispensing",42.46528299,174.08
"Non-dispensing",22.63565163,145.78
"Non-dispensing",21.16124639,158.75
"Non-dispensing",29.66946901,159.34
"Non-dispensing",16.9565536,158.59
"Non-dispensing",37.90756671,165.76
"Non-dispensing",41.45043071,203.44
"Non-dispensing",29.21198023,122.93
"Non-dispensing",24.74084483,145.36
"Non-dispensing",13.10502047,178.38
"Non-dispensing",15.97956734,153.42
"Non-dispensing",11.01180963,211.91
"Non-dispensing",9.587883313,182.4
"Non-dispensing",9.674477742,175
"Non-dispensing",46.64332104,163.07
"Dispensing",12.09627538,204.62
"Non-dispensing",14.07929418,160.48
"Non-dispensing",17.61868452,173.66
"Non-dispensing",35.04572325,134.86
"Non-dispensing",39.87735675,151.07
"Non-dispensing",49.76407819,231.14
"Non-dispensing",15.1813299,158.06
"Dispensing",11.27620913,210.13
"Non-dispensing",27.81930524,166.14
"Non-dispensing",21.26668435,159.9
"Non-dispensing",16.94034165,158.38
"Non-dispensing",8.289327596,157.87
"Non-dispensing",50.99364985,169.45
"Non-dispensing",35.36753753,177.46
"Non-dispensing",9.858640855,214.42
"Non-dispensing",20.03447396,160.16
"Non-dispensing",21.78704798,162.6
"Non-dispensing",24.22962623,229.63
"Non-dispensing",43.74086452,167.26
"Non-dispensing",50.25809236,130.71
"Non-dispensing",42.65621135,175.08
"Non-dispensing",18.01462813,156.91
"Non-dispensing",11.43989096,144.54
"Non-dispensing",22.99075249,164.25
