Practice.Code,Outcome,Outcome2
K83607,NA,Merged
M81003,NA,Merged
M81062,NA,Merged
M81073,NA,Closed
M81089,NA,Closed
M81621,Merged,Merged
M82027,NA,Merged
M82031,NA,Merged
M82044,NA,Closed
M82604,NA,Merged
M83041,NA,Merged
M83082,NA,Merged
M83115,NA,Merged
M83128,NA,Merged
M83134,NA,Merged
M83623,NA,Merged
M83665,NA,Merged
M83700,NA,Merged
M83705,Merged,Merged
M83706,NA,Merged
M83712,NA,Closed
M83714,Merged,Merged
M83722,Merged,Merged
M84603,NA,Merged
M84617,NA,Closed
M84624,Merged,Merged
M85008,NA,Merged
M85038,NA,Merged
M85052,Merged,Merged
M85064,NA,Merged
M85068,Merged,Merged
M85083,NA,Merged
M85085,Merged,Merged
M85092,NA,Closed
M85103,NA,Merged
M85127,NA,Merged
M85142,NA,Merged
M85159,NA,Merged
M85663,Merged,Merged
M85671,NA,Merged
M85677,NA,Closed
M85689,NA,Closed
M85753,NA,Merged
M85782,NA,Merged
M85801,NA,Merged
M86013,NA,Merged
M86023,NA,Merged
M86613,NA,Merged
M88024,NA,Closed
M88031,NA,Closed
M88036,NA,Merged
M88044,NA,Merged
M88623,NA,Closed
M88627,NA,Merged
M88629,NA,Merged
M88637,NA,Merged
M89004,NA,Merged
M89028,NA,Merged
M89601,Merged,Merged
M89602,NA,Merged
M91011,NA,Merged
M91020,NA,Merged
M92002,NA,Merged
M92003,NA,Merged
M92014,NA,Merged
M92024,NA,Merged
M92042,NA,Merged
M92044,NA,Merged
M92647,NA,Merged
Y00028,NA,Merged
Y00592,Merged,Merged
Y01139,Merged,Merged
Y02414,NA,Closed
Y02442,NA,Merged
Y02470,Merged,Merged
Y02570,Merged,Merged
Y02615,Merged,Merged
Y02704,NA,Merged
Y02735,NA,Merged
Y02961,Merged,Merged
Y03007,NA,Closed
Y03432,NA,Closed
Y03587,NA,Merged
Y04883,NA,Closed
Y04942,NA,Merged
Y04947,NA,Merged
Y04949,NA,Closed
Y04951,NA,Closed
Y04952,NA,Merged
Y04968,NA,Merged
Y06507,NA,Merged
D81024,Merged,Merged
D81032,NA,Merged
D81040,NA,Closed
D81053,Merged,Merged
D81063,NA,Merged
D81623,NA,Merged
D81624,NA,Closed
D82069,NA,Merged
D83036,NA,Merged
D83039,NA,Merged
D83058,NA,Merged
D83082,NA,Closed
D83615,NA,Merged
E81001,NA,Closed
E81023,NA,Closed
E81054,NA,Closed
E81056,NA,Merged
E81059,NA,Merged
E81064,NA,Merged
E81065,NA,Merged
E81075,Merged,Merged
E81077,NA,Merged
E81611,NA,Merged
E82025,Merged,Merged
E82028,NA,Closed
E82034,NA,Merged
E82048,NA,Merged
E82049,NA,Merged
E82054,NA,Merged
E82057,NA,Merged
E82072,NA,Merged
E82076,NA,Merged
E82089,NA,Merged
E82109,Merged,Merged
E82126,NA,Closed
E82130,NA,Merged
E82131,NA,Merged
E82603,NA,Merged
E82620,NA,Merged
E82641,NA,Merged
E82644,NA,Merged
F81016,NA,Merged
F81024,NA,Closed
F81074,NA,Merged
F81127,NA,Merged
